,fea_customer_id
0,159465
1,16122994
2,18720987
3,19631063
4,1269974
5,12671592
6,20139209
7,740905
8,16484419
9,19616271
10,5440297
11,8528801
12,228039
13,395904
14,14664255
15,19900479
16,19057585
17,19316511
18,16556733
19,19218295
20,901093
21,1567693
22,7173328
23,17956198
24,13104138
25,19280274
26,16270577
27,13747416
28,19271315
29,19905342
30,6241361
31,11148798
32,20016831
33,17537737
34,18989296
35,5968064
36,10973672
37,15937228
38,19059450
39,16316109
40,17898731
41,19839348
42,16920596
43,15891411
44,14145288
45,17318830
46,13384738
48,18932567
50,19696471
51,17099711
52,20125044
53,17634780
54,7980209
55,19352119
56,16292396
57,18292756
58,17201513
59,20584171
60,18016952
61,12777253
62,20546538
63,17197449
64,10198924
65,20125810
66,20294240
67,13629556
68,928811
69,9280362
70,19934240
71,17754792
72,20049788
73,10432405
74,18068038
75,9731148
76,17044889
77,18108764
78,13728451
79,19636558
80,17693182
81,10290888
82,17749655
83,18818390
84,19515839
85,14505372
86,1704561
87,17710693
88,3035826
89,17422696
90,17860562
91,18916066
92,13804649
93,20355000
94,10135667
95,6972314
96,2143082
97,20126931
98,17125043
99,20214880
100,7594923
101,17771924
102,18664096
103,19039921
104,18661184
105,8884909
106,16920657
107,19760165
108,17399636
109,5466595
110,17824911
111,17597766
112,13959148
113,17358112
114,20632438
115,8030546
116,18504949
117,6361066
118,14233593
119,14327093
120,19059676
121,13916044
122,12212507
123,19454751
124,19671844
125,20746237
126,8500325
127,18686629
128,8273599
129,14725865
130,20623088
131,18871172
132,19852213
133,19609915
134,11270298
135,19104139
136,1796887
137,15723704
138,18685185
139,18841652
140,20313597
141,20515648
142,19721797
143,15707859
144,19700199
145,17509612
146,15023098
148,19122790
149,9865212
150,15733590
151,20316423
152,13278712
153,10706569
154,19538679
155,9736807
156,18513278
157,16472449
158,19297632
159,19207115
160,12224770
161,17326263
162,1910474
163,19627349
164,12903962
165,671541
166,13229659
167,20259217
168,14005122
169,15489751
170,19668587
171,19414140
172,19941671
173,18471118
174,14934497
175,15566343
176,19412045
177,19456801
178,16676673
179,19268269
180,16030842
181,10240907
182,16768278
183,13619920
184,12009277
185,19824905
186,15028416
187,18607263
188,11624537
